scenario,time_ms,input_energy,recent_min,recent_max,dynamic_range,adaptive_gain,dynamic_energy,expanded_energy,transient_energy,derivative_energy,speaking_base_energy,procedural_carrier_energy,final_speaking_energy
quiet_live_like,0.0,0.16,0.16,0.16,0.0,1.0,0.0,0.0,0.0,0.0,0.182284,0.040162,0.025
quiet_live_like,16.667,0.169356,0.16,0.169356,0.009356,1.0,0.0,0.0,0.0,0.0,0.185445,0.045221,0.05
quiet_live_like,33.333,0.176143,0.16,0.176143,0.016143,8.0,0.0625,0.072917,0.09375,0.073291,0.187991,0.049395,0.075
quiet_live_like,50.0,0.178807,0.16,0.178807,0.018807,8.0,0.125,0.145833,0.065104,0.028772,0.189507,0.05203,0.1
quiet_live_like,66.667,0.177331,0.16,0.178807,0.018807,8.0,0.138648,0.21875,0.036458,0.015937,0.189853,0.052851,0.125
quiet_live_like,83.333,0.173013,0.16,0.178807,0.018807,8.0,0.107398,0.291667,0.007812,0.046634,0.189185,0.052021,0.15
quiet_live_like,100.0,0.167669,0.16,0.178807,0.018807,8.0,0.076148,0.299378,0.0,0.057717,0.187887,0.050099,0.175
quiet_live_like,116.667,0.162714,0.16,0.178807,0.018807,8.0,0.044898,0.260316,0.0,0.053507,0.186455,0.047883,0.2
quiet_live_like,133.333,0.158621,0.158621,0.178807,0.020186,8.0,0.013648,0.221253,0.0,0.044209,0.185345,0.046201,0.225
quiet_live_like,150.0,0.15501,0.15501,0.178807,0.023797,8.0,0.0,0.182191,0.0,0.038998,0.184871,0.045692,0.25
quiet_live_like,166.667,0.151279,0.151279,0.178807,0.027528,8.0,0.0,0.143128,0.0,0.040294,0.185143,0.046638,0.275
quiet_live_like,183.333,0.147345,0.147345,0.178807,0.031461,8.0,0.0,0.104066,0.0,0.042487,0.186079,0.048888,0.266819
quiet_live_like,200.0,0.144028,0.144028,0.178807,0.034778,8.0,0.0,0.065003,0.0,0.035822,0.187442,0.051893,0.255361
quiet_live_like,216.667,0.142809,0.142809,0.178807,0.035997,8.0,0.0,0.025941,0.0,0.013165,0.188908,0.054854,0.243903
quiet_live_like,233.333,0.145063,0.142809,0.178807,0.035997,8.0,0.018026,0.083226,0.036053,0.024335,0.190119,0.056921,0.267181
quiet_live_like,250.0,0.151183,0.142809,0.178807,0.035997,8.0,0.066987,0.156143,0.097922,0.066097,0.190742,0.057416,0.292181
quiet_live_like,266.667,0.160107,0.142809,0.178807,0.035997,8.0,0.129487,0.229059,0.14279,0.096383,0.190534,0.056015,0.317181
quiet_live_like,283.333,0.169541,0.142809,0.178807,0.035997,8.0,0.191987,0.301976,0.150946,0.101888,0.18941,0.052826,0.342181
quiet_live_like,300.0,0.176818,0.142809,0.178807,0.035997,8.0,0.254487,0.374893,0.1223,0.078588,0.187498,0.048375,0.367181
quiet_live_like,316.667,0.179978,0.142809,0.179978,0.037169,8.0,0.297349,0.447809,0.093654,0.034129,0.185119,0.043469,0.392181
quiet_live_like,333.333,0.178534,0.142809,0.179978,0.037169,8.0,0.285796,0.520726,0.065008,0.015596,0.182714,0.038996,0.417181
quiet_live_like,350.0,0.173542,0.142809,0.179978,0.037169,8.0,0.254546,0.538757,0.036362,0.053909,0.180729,0.035705,0.442181
quiet_live_like,366.667,0.166977,0.142809,0.179978,0.037169,8.0,0.223296,0.499695,0.007716,0.070908,0.179487,0.034019,0.452885
quiet_live_like,383.333,0.160755,0.142809,0.179978,0.037169,8.0,0.192046,0.460632,0.0,0.067197,0.179089,0.033934,0.441427
quiet_live_like,400.0,0.155942,0.142809,0.179978,0.037169,8.0,0.160796,0.42157,0.0,0.051973,0.179381,0.035031,0.429969
quiet_live_like,416.667,0.152535,0.142809,0.179978,0.037169,8.0,0.129546,0.382507,0.0,0.036796,0.179991,0.036588,0.41851
quiet_live_like,433.333,0.14988,0.142809,0.179978,0.037169,8.0,0.098296,0.343445,0.0,0.028672,0.180453,0.037777,0.407052
quiet_live_like,450.0,0.147438,0.142809,0.179978,0.037169,8.0,0.067046,0.304382,0.0,0.026381,0.180363,0.037885,0.395594
quiet_live_like,466.667,0.145396,0.142809,0.179978,0.037169,8.0,0.035796,0.26532,0.0,0.022052,0.179521,0.036501,0.384135
quiet_live_like,483.333,0.14475,0.142809,0.179978,0.037169,8.0,0.015529,0.226257,0.0,0.006971,0.177989,0.033631,0.372677
quiet_live_like,500.0,0.146772,0.142809,0.179978,0.037169,8.0,0.031698,0.187195,0.032338,0.021828,0.176066,0.029699,0.361219
quiet_live_like,516.667,0.152155,0.142809,0.179978,0.037169,8.0,0.074766,0.234018,0.086135,0.058141,0.174175,0.025445,0.34976
quiet_live_like,533.333,0.16035,0.142809,0.179978,0.037169,8.0,0.137266,0.306934,0.131127,0.088511,0.172725,0.021741,0.37476
quiet_live_like,550.0,0.169485,0.142809,0.179978,0.037169,8.0,0.199766,0.379851,0.14616,0.098658,0.172007,0.019365,0.39976
quiet_live_like,566.667,0.176988,0.142809,0.179978,0.037169,8.0,0.262266,0.452768,0.120032,0.081022,0.172133,0.018809,0.42476
quiet_live_like,583.333,0.180623,0.142809,0.180623,0.037814,8.0,0.30251,0.525684,0.091387,0.039264,0.17303,0.020154,0.44976
quiet_live_like,600.0,0.179437,0.142809,0.180623,0.037814,8.0,0.293022,0.598601,0.062741,0.012808,0.17447,0.023048,0.47476
quiet_live_like,616.667,0.174118,0.142809,0.180623,0.037814,8.0,0.261772,0.559539,0.034095,0.057448,0.176129,0.026797,0.483478
quiet_live_like,633.333,0.166609,0.142809,0.180623,0.037814,8.0,0.230522,0.520476,0.005449,0.081095,0.177658,0.030542,0.47202
quiet_live_like,650.0,0.159187,0.142809,0.180623,0.037814,8.0,0.199272,0.481414,0.0,0.080153,0.17876,0.033475,0.460561
quiet_live_like,666.667,0.153493,0.142809,0.180623,0.037814,8.0,0.168022,0.442351,0.0,0.061501,0.179244,0.035042,0.449103
