t_ms,playback_backend,playback_mode,tts_live_format,tts_artifact_format,stream_tts_outputs,active_playback_status,playback_stable,playback_id,active_playback_stream_id,voice_anchor_state,voice_current_phase,speaking_visual_active,playback_envelope_supported,playback_envelope_available,playback_envelope_usable,playback_envelope_source,playback_envelope_disabled_reason,playback_envelope_fallback_reason,playback_envelope_sample_rate_hz,playback_envelope_sample_count,playback_envelope_sample_age_ms,playback_envelope_window_mode,playback_envelope_query_time_ms,playback_envelope_energy,latest_voice_energy,latest_voice_energy_time_ms,anchor_uses_playback_envelope,procedural_fallback_active,speaking_visual_sync_mode,envelope_interpolation_active,raw_audio_present,raw_audio_logged,effective_voice_energy,speaking_or_playing,usable_visual_energy_source
346.547,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
576.872,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
782.111,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
979.866,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
1185.789,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
1391.619,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
1582.637,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
1798.477,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
2000.865,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
2194.708,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
2391.446,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
2582.816,,,,,,,,,,idle,,False,False,False,False,unavailable,,playback_envelope_unsupported,0,0,,latest,,0.0,,,False,False,procedural_fallback,False,False,False,0.0,False,none
2799.402,,,,,,prerolling,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,preparing_speech,,False,True,False,False,playback_pcm,,playback_envelope_unavailable,60,0,,latest,,0.0,0.0,,False,False,procedural_fallback,False,False,False,0.0,False,none
2989.01,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,False,False,playback_pcm,,playback_envelope_unavailable,60,0,7,playback_time,1,0.0,0.0,0,False,True,procedural_fallback,False,False,False,0.0,True,procedural_fallback
3175.242,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,playback_time,180,0.301,0.301,183,True,False,playback_envelope,True,False,False,0.301,True,playback_envelope
3366.177,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,playback_time,382,0.2366,0.2366,383,True,False,playback_envelope,True,False,False,0.2366,True,playback_envelope
3550.748,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,5,playback_time,554,0.2411,0.2411,550,True,False,playback_envelope,True,False,False,0.2411,True,playback_envelope
3739.088,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
3926.445,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
4112.016,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
4300.097,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
4489.729,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
4680.523,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
4870.97,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
5062.286,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
5252.739,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
5464.422,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
5664.605,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
5853.846,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
6039.531,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
6242.301,,,,,,playing,,voice-playback-stream-329d5eb01235,voice-playback-stream-329d5eb01235,speaking,,True,True,True,True,playback_pcm,,,60,8,0,latest,,0.0106,0.0106,7233,True,False,playback_envelope,True,False,False,0.0106,True,playback_envelope
