t_ms,active_playback_status,playback_id,active_playback_id,active_playback_stream_id,voice_anchor_state,voice_current_phase,speaking_visual_active,playback_envelope_supported,playback_envelope_available,playback_envelope_usable,playback_envelope_usable_reason,playback_envelope_source,playback_envelope_timebase_aligned,playback_envelope_alignment_error_ms,playback_envelope_sample_count,playback_envelope_sample_age_ms,playback_envelope_window_mode,playback_envelope_query_time_ms,playback_envelope_latest_time_ms,latest_voice_energy_time_ms,playback_envelope_energy,latest_voice_energy,anchor_uses_playback_envelope,procedural_fallback_active,speaking_visual_sync_mode,envelope_interpolation_active,envelope_fallback_reason,raw_audio_present,raw_audio_logged,effective_voice_energy,speaking_or_playing,usable_visual_energy_source
423.303,,,,,idle,,False,False,False,False,playback_envelope_unsupported,unavailable,False,,0,,latest,,,,0.0,,False,False,procedural_fallback,False,playback_envelope_unsupported,False,False,0.0,False,none
639.592,,,,,idle,,False,False,False,False,playback_envelope_unsupported,unavailable,False,,0,,latest,,,,0.0,,False,False,procedural_fallback,False,playback_envelope_unsupported,False,False,0.0,False,none
856.565,,,,,idle,,False,False,False,False,playback_envelope_unsupported,unavailable,False,,0,,latest,,,,0.0,,False,False,procedural_fallback,False,playback_envelope_unsupported,False,False,0.0,False,none
1077.547,,,,,idle,,False,False,False,False,playback_envelope_unsupported,unavailable,False,,0,,latest,,,,0.0,,False,False,procedural_fallback,False,playback_envelope_unsupported,False,False,0.0,False,none
1291.428,,,,,idle,,False,False,False,False,playback_envelope_unsupported,unavailable,False,,0,,latest,,,,0.0,,False,False,procedural_fallback,False,playback_envelope_unsupported,False,False,0.0,False,none
1511.215,,,,,idle,,False,False,False,False,playback_envelope_unsupported,unavailable,False,,0,,latest,,,,0.0,,False,False,procedural_fallback,False,playback_envelope_unsupported,False,False,0.0,False,none
1707.709,,,,,idle,,False,False,False,False,playback_envelope_unsupported,unavailable,False,,0,,latest,,,,0.0,,False,False,procedural_fallback,False,playback_envelope_unsupported,False,False,0.0,False,none
1920.072,,voice-playback-stream-3cda8a9eee05,,,idle,,False,False,False,False,playback_envelope_unsupported,unavailable,False,,0,,latest,,,,0.0,,False,False,procedural_fallback,False,playback_envelope_unsupported,False,False,0.0,False,none
2135.602,prerolling,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,preparing_speech,,False,True,False,False,playback_envelope_unavailable,playback_pcm,False,,0,,latest,,,,0.0,0.0,False,False,procedural_fallback,False,,False,False,0.0,False,none
2326.676,playing,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,speaking,,True,True,True,True,playback_envelope_usable,playback_pcm,True,0,8,0,playback_time,80,83,83,0.0642,0.0642,True,False,playback_envelope,True,,False,False,0.0642,True,playback_envelope
2512.849,playing,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,speaking,,True,True,True,True,playback_envelope_usable,playback_pcm,True,0,8,0,playback_time,266,267,267,0.3272,0.3272,True,False,playback_envelope,True,,False,False,0.3272,True,playback_envelope
2689.299,playing,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,speaking,,True,True,True,True,playback_envelope_usable,playback_pcm,True,0,8,4,playback_time,436,433,433,0.2355,0.2355,True,False,playback_envelope,True,,False,False,0.2355,True,playback_envelope
2866.335,playing,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,speaking,,True,True,True,True,playback_envelope_usable,playback_pcm,True,0,8,6,playback_time,623,617,617,0.0739,0.0739,True,False,playback_envelope,True,,False,False,0.0739,True,playback_envelope
3047.133,playing,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,speaking,,True,True,True,False,playback_envelope_unaligned,playback_pcm,False,,8,0,latest,,7883,7883,0.0,0.0,False,True,procedural_fallback,False,playback_envelope_unaligned,False,False,0.0,True,procedural_fallback
3243.681,playing,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,speaking,,True,True,True,False,playback_envelope_unaligned,playback_pcm,False,,8,0,latest,,7883,7883,0.0,0.0,False,True,procedural_fallback,False,playback_envelope_unaligned,False,False,0.0,True,procedural_fallback
3444.044,playing,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,speaking,,True,True,True,False,playback_envelope_unaligned,playback_pcm,False,,8,0,latest,,7883,7883,0.0,0.0,False,True,procedural_fallback,False,playback_envelope_unaligned,False,False,0.0,True,procedural_fallback
3629.552,playing,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,speaking,,True,True,True,False,playback_envelope_unaligned,playback_pcm,False,,8,0,latest,,7883,7883,0.0,0.0,False,True,procedural_fallback,False,playback_envelope_unaligned,False,False,0.0,True,procedural_fallback
3811.62,playing,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,voice-playback-stream-3cda8a9eee05,speaking,,True,True,True,False,playback_envelope_unaligned,playback_pcm,False,,8,0,latest,,7883,7883,0.0,0.0,False,True,procedural_fallback,False,playback_envelope_unaligned,False,False,0.0,True,procedural_fallback
