scenario,playback_id,selected_visualizer_strategy,t_ms,input_energy,expanded_energy,final_speaking_energy,adaptive_gain
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,0.0,0.22,0.4245,0.4462,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,16.0,0.2645,0.488,0.483,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,32.0,0.3027,0.5287,0.5066,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,48.0,0.329,0.5533,0.5209,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,64.0,0.3398,0.5623,0.5261,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,80.0,0.3336,0.5554,0.5221,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,96.0,0.3111,0.5323,0.5087,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,112.0,0.2756,0.4939,0.4865,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,128.0,0.2322,0.4416,0.4561,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,144.0,0.487,0.7287,0.6226,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,160.0,0.4466,0.6846,0.597,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,176.0,0.4166,0.6509,0.5775,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,192.0,0.1014,0.1522,0.2883,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,208.0,0.1031,0.1645,0.2954,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,224.0,0.1215,0.2462,0.3428,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,240.0,0.1539,0.3239,0.3879,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,256.0,0.1958,0.3975,0.4306,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,272.0,0.2411,0.4601,0.4668,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,288.0,0.2834,0.5088,0.4951,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,304.0,0.3167,0.5421,0.5144,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,320.0,0.3362,0.5596,0.5246,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,336.0,0.339,0.5611,0.5254,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,352.0,0.325,0.5466,0.517,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,368.0,0.2959,0.5163,0.4994,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,384.0,0.256,0.4712,0.4733,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,400.0,0.211,0.413,0.4395,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,416.0,0.1672,0.3435,0.3992,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,432.0,0.131,0.2654,0.3539,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,448.0,0.4075,0.6693,0.5882,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,464.0,0.4,0.649,0.5764,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,480.0,0.1097,0.2181,0.3265,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,496.0,0.1351,0.2941,0.3706,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,512.0,0.1726,0.3658,0.4122,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,528.0,0.2168,0.4298,0.4493,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,544.0,0.2616,0.4847,0.4811,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,560.0,0.3003,0.5262,0.5052,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,576.0,0.3277,0.552,0.5202,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,592.0,0.3396,0.5622,0.5261,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,608.0,0.3345,0.5563,0.5226,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,624.0,0.3131,0.5343,0.5099,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,640.0,0.2784,0.497,0.4883,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,656.0,0.2353,0.4456,0.4584,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,672.0,0.1901,0.3819,0.4215,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,688.0,0.1491,0.3081,0.3787,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,704.0,0.1183,0.2271,0.3317,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,720.0,0.1019,0.1411,0.2818,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,736.0,0.1024,0.1461,0.2847,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,752.0,0.1197,0.2346,0.3361,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,768.0,0.4513,0.7149,0.6147,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,784.0,0.4927,0.73,0.6234,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,800.0,0.538,0.7509,0.6355,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,816.0,0.2807,0.5205,0.5019,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,832.0,0.3148,0.5502,0.5191,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,848.0,0.3353,0.566,0.5283,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,864.0,0.3394,0.5667,0.5287,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,880.0,0.3265,0.5518,0.5201,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,896.0,0.2983,0.5215,0.5025,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,912.0,0.259,0.4767,0.4765,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,928.0,0.2141,0.4187,0.4428,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,944.0,0.1701,0.3496,0.4028,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,960.0,0.1332,0.2719,0.3577,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,976.0,0.1086,0.1877,0.3089,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,992.0,0.1,0.1006,0.2583,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1008.0,0.1085,0.1879,0.309,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1024.0,0.1329,0.2743,0.3591,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1040.0,0.1697,0.354,0.4053,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1056.0,0.5137,0.7645,0.6434,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1072.0,0.2586,0.5177,0.5002,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1088.0,0.298,0.549,0.5184,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1104.0,0.3262,0.5687,0.5298,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1120.0,0.3394,0.575,0.5335,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1136.0,0.3354,0.5665,0.5286,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1152.0,0.3151,0.5431,0.515,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1168.0,0.2811,0.5049,0.4928,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1184.0,0.2384,0.453,0.4627,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1200.0,0.1931,0.3891,0.4257,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1216.0,0.1517,0.3153,0.3829,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1232.0,0.12,0.2342,0.3358,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1248.0,0.1025,0.148,0.2859,1.0
ready_envelope_timeline,probe-ready-timeline,playback_envelope_timeline,1264.0,0.1018,0.1406,0.2816,1.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,0.0,0.0,0.0,0.3423,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,16.0,0.0,0.0,0.3577,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,32.0,0.0,0.0,0.3669,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,48.0,0.0,0.0,0.3697,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,64.0,0.0,0.0,0.3669,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,80.0,0.0,0.0,0.3601,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,96.0,0.0,0.0,0.351,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,112.0,0.0,0.0,0.3417,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,128.0,0.0,0.0,0.3338,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,144.0,0.0,0.0,0.3287,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,160.0,0.0,0.0,0.3269,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,176.0,0.0,0.0,0.3284,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,192.0,0.0,0.0,0.3321,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,208.0,0.0,0.0,0.3368,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,224.0,0.0,0.0,0.3407,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,240.0,0.0,0.0,0.3419,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,256.0,0.0,0.0,0.3391,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,272.0,0.0,0.0,0.3312,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,288.0,0.0,0.0,0.318,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,304.0,0.0,0.0,0.3002,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,320.0,0.0,0.0,0.2792,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,336.0,0.0,0.0,0.2569,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,352.0,0.0,0.0,0.2358,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,368.0,0.0,0.0,0.2183,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,384.0,0.0,0.0,0.2065,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,400.0,0.0,0.0,0.2021,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,416.0,0.0,0.0,0.2059,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,432.0,0.0,0.0,0.2176,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,448.0,0.0,0.0,0.2363,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,464.0,0.0,0.0,0.26,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,480.0,0.0,0.0,0.2865,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,496.0,0.0,0.0,0.3129,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,512.0,0.0,0.0,0.3368,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,528.0,0.0,0.0,0.3561,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,544.0,0.0,0.0,0.3693,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,560.0,0.0,0.0,0.3757,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,576.0,0.0,0.0,0.3757,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,592.0,0.0,0.0,0.3704,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,608.0,0.0,0.0,0.3613,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,624.0,0.0,0.0,0.3504,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,640.0,0.0,0.0,0.3399,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,656.0,0.0,0.0,0.3313,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,672.0,0.0,0.0,0.3259,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,688.0,0.0,0.0,0.324,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,704.0,0.0,0.0,0.3255,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,720.0,0.0,0.0,0.3291,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,736.0,0.0,0.0,0.3335,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,752.0,0.0,0.0,0.3368,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,768.0,0.0,0.0,0.3373,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,784.0,0.0,0.0,0.3335,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,800.0,0.0,0.0,0.3246,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,816.0,0.0,0.0,0.3107,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,832.0,0.0,0.0,0.2925,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,848.0,0.0,0.0,0.2716,0.0
late_envelope_timeline,probe-late-timeline,procedural_speaking,864.0,0.0,0.0,0.25,0.0
